protname,site_system,muscular,skeletal,circulatory,respiratory,digestive,immune,urinary,nervous,endocrine,reproductive,lymphatic,integumentary,ocular,multi,V17
Babesia bicornis,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia bigemina,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia bovis,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia cellii,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia cynicti,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia divergens,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia equi,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia lotori,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia microti,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia missirolii,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia odocoilei,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia ovis,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia pitheci,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia propitheci,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Babesia rossi,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Balantidium aragaoi,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Balantidium coli,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Besnoitia tarandi,"multi: muscular, repiratory, lymphatic, integumentary, urinary, nervous, ocular",1,0,0,0,0,0,1,1,0,0,1,1,1,1,6
Blastocystis hominis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Blepharocorys jubata,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charonina hippopotami,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Chilomastix mesnili,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cryptosporidium parvum,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cycloposthium bipalmatum,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycloposthium corrugatum,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycloposthium dentiferum,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycloposthium edentatum,species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycloposthium scutigerum,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclospora cercopitheci,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cyclospora colobi,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cyclospora papionis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cystoisospora felis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cystoisospora ohioensis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Cytauxzoon felis,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Cytauxzoon manul,circulatory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Dientamoeba fragilis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Diplodinium anacanthum,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Diplodinium dentatum,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Diploplastron affine,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria auburnensis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria bovis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria crispus,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria felina,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria furonis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria hreindyria,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria ictidea,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria kamoshika,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria macusaniensis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria madisonensis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria mayeri,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria mccordocki,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria melis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria mephitidis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria nuttalli,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria odocoilei,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria pachylepyron,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria rangiferis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria serowi,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria vulpis,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eimeria zuernii,digestive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
